Modifier Gene	Variant/Allele	MONDO ID	MONDO Term	Effect	Reference
SERPINA1	Z allele (p.Glu342Lys)	MONDO:7770005	CFLD	OR ~5 for severe liver disease with portal hypertension; 47% CFLD by age 25 vs 30% in non-carriers	PMID:30739910
TCF7L2	Risk alleles (T2D locus)	MONDO:7770003	CFRD	Increases CFRD risk; shared with type 2 diabetes susceptibility	PMID:23970970
SLC26A9	rs7512462	MONDO:7770003	CFRD	Modifies pancreatic damage and CFRD risk	PMID:24057835
SLC26A9	rs7512462	MONDO:0005413	CF meconium ileus	Significantly associated with meconium ileus risk (p=0.002)	PMID:24057835
SLC6A14	rs12839137	MONDO:0005413	CF meconium ileus	Replicated association with meconium ileus	PMID:22466613
SLC9A3	Various SNPs	MONDO:0005413	CF meconium ileus	Sodium-hydrogen exchanger; associated with MI risk	PMID:19662435
TGFB1	Codon 10/25 variants	MONDO:0009061	Cystic fibrosis	Modifies lung disease severity	PMID:21175684
TGFB1	Codon 10/25 variants	MONDO:7770005	CFLD	Modifies liver fibrosis risk	PMID:19738092
IFRD1	Various	MONDO:0009061	Cystic fibrosis	Modifies lung disease severity	PMID:21175684
MBL2	Deficiency alleles	MONDO:0009061	Cystic fibrosis	Modifies pulmonary function decline	PMID:21175684
MBL2	Deficiency alleles	MONDO:7770005	CFLD	Variable association with liver disease	PMID:19738092
ACE	D/D genotype	MONDO:7770005	CFLD	Associated with liver disease severity	PMID:19738092
EDNRA	Various	MONDO:0010178	CBAVD from CFTR	Modifies CBAVD penetrance	PMID:21175684
CDKAL1	T2D GWAS locus	MONDO:7770003	CFRD	Overlaps with type 2 diabetes genetic risk	PMID:32381652
CDKN2A/B	T2D GWAS locus	MONDO:7770003	CFRD	Overlaps with type 2 diabetes genetic risk	PMID:32381652
IGF2BP2	T2D GWAS locus	MONDO:7770003	CFRD	Overlaps with type 2 diabetes genetic risk	PMID:32381652
SCNN1B	Various (ENaC beta)	MONDO:0008887	BESC1	ENaC subunit; may cause CF-like bronchiectasis phenocopy	OMIM:211400
ADGRG2	Various	MONDO:0010178	CBAVD from CFTR	Non-CFTR cause of CBAVD (~3-20% of cases without CFTR variants)	Various
